,covers_id,amazon_id,covers_title,amazon_title,similarity_score,covers_isbn,amazon_isbn,is_match
0,Covers_3381,Amazon_7905,The Quick and Easy Way to Effective Speaking,The Quick and Easy Way to Effective Speaking,1.0000000000000002,9780671724009,9780671724009,True
1,Covers_1040,Amazon_21009,Captain Underpants and the Wrath of the Wicked Wedgie Woman,Captain Underpants and the Wrath of the Wicked Wedgie Woman,1.0000000000000002,9780439050005,9780439050005,True
2,Covers_8861,Amazon_14667,Winterdance: The Fine Madness of Running the Iditarod,Winterdance: the Fine Madness of Running the Iditarod,1.0,9780156001458,9780156001458,True
3,Covers_2385,Amazon_10360,Miss Nelson Is Missing!,Miss Nelson Is Missing!,1.0,9780395401460,9780395401460,True
4,Covers_8362,Amazon_17819,The Last Unicorn,The Last Unicorn,1.0,9780451450524,9780451450524,True
5,Covers_3536,Amazon_21206,Zombie Butts From Uranus!,Zombie Butts from Uranus!,1.0000000000000002,9780439424707,9780439424707,True
6,Covers_6896,Amazon_16341,Exodus,Exodus,1.0,9780553258479,9780553258479,True
7,Covers_1880,Amazon_3477,The Education of Little Tree,The Education of Little Tree,1.0000000000000002,9780826328090,9780826328090,True
8,Covers_7303,Amazon_17207,Lake in the Clouds,Lake in the Clouds,1.0,9780553582796,9780553582796,True
9,Covers_4847,Amazon_3985,The McKinsey Way,The McKinsey Way,1.0,9780070534483,9780070534483,True
10,Covers_2925,Amazon_8882,Hollywood Babylon,Hollywood Babylon,1.0,9780440153252,9780440153252,True
11,Covers_7156,Amazon_11030,How to Stop Worrying and Start Living,How to Stop Worrying and Start Living,1.0000000000000002,9780671733353,9780671733353,True
12,Covers_7618,Amazon_1068,Pale Blue Dot: A Vision of the Human Future in Space,Pale Blue Dot: a Vision of the Human Future in Space,1.0000000000000002,9780345376596,9780345376596,True
13,Covers_2249,Amazon_14688,One Hundred Ways for a Cat to Train Its Human,One Hundred Ways for a Cat to Train Its Human,1.0000000000000002,9780340786055,9780340786055,True
14,Covers_7519,Amazon_7453,Naked in Death,Naked in Death,1.0,9780425148297,9780425148297,True
15,Covers_6708,Amazon_7503,Conspiracy in Death,Conspiracy in Death,1.0,9780425168134,9780425168134,True
16,Covers_7847,Amazon_16691,Separate Reality,A Separate Reality,1.0,9780671732493,9780671732493,True
17,Covers_1638,Amazon_5061,Edwina the Emu,Edwina the Emu,1.0000000000000002,9780064434836,9780064434836,True
18,Covers_7151,Amazon_2635,How to Draw What You See,How To Draw What You See,1.0000000000000002,9780823023752,9780823023752,True
19,Covers_8443,Amazon_15028,The Odyssey,The Odyssey,1.0,9781853260254,9781853260254,True
20,Covers_8512,Amazon_17060,The Rescue,The Rescue,1.0,9780446610391,9780446610391,True
21,Covers_1513,Amazon_21269,Explorers on the Moon (The Adventures of Tintin),The Adventures of Tintin: Explorers on the Moon,1.0,9780316358460,9780316358460,True
22,Covers_7825,Amazon_16483,Schindler's List,Schindler's List,1.0,9780671880316,9780671880316,True
23,Covers_6413,Amazon_10888,Amphigorey,Amphigorey,1.0,9780399504334,9780399504334,True
24,Covers_8096,Amazon_13112,The Book of Bunny Suicides,The Book of Bunny Suicides,1.0,9780452285187,9780452285187,True
25,Covers_6588,Amazon_7804,Brazen Virtue,Brazen Virtue,1.0,9780553272833,9780553272833,True
26,Covers_2659,Amazon_2044,Keys to Drawing,Keys to Drawing,1.0,9780891343370,9780891343370,True
27,Covers_5185,Amazon_8731,Stet,Stet,1.0,9781862074408,9781862074408,True
28,Covers_6795,Amazon_1471,Desert Solitaire,Desert Solitaire,1.0,9780345326492,9780345326492,True
29,Covers_7268,Amazon_7066,Jurassic Park,Jurassic Park,1.0,9780345370778,9780345370778,True
30,Covers_8541,Amazon_17794,The Satanic Verses,The Satanic Verses,1.0,9780963270702,9780963270702,True
31,Covers_8105,Amazon_4796,The Borrowers,The Borrowers,1.0,9780152047375,9780152047375,True
32,Covers_1058,Amazon_14125,Book of Thoth,Book of Thoth,1.0,9780877282686,9780877282686,True
33,Covers_8544,Amazon_21543,The Sea Hunters II,The Sea Hunters II,1.0000000000000004,9780425193723,9780425193723,True
34,Covers_3719,Amazon_16563,The Normal Christian Life,"Normal Christian Life, The",1.0000000000000004,9780842347105,9780842347105,True
35,Covers_5675,Amazon_14302,Retired Racing Greyhounds for Dummies,Retired Racing Greyhounds For Dummies,1.0000000000000002,9780764552762,9780764552762,True
36,Covers_5721,Amazon_15704,The Master Book of Herbalism,The Master Book of Herbalism,1.0000000000000002,9780919345539,9780919345539,True
37,Covers_2331,Amazon_13535,Satanic Bible,Satanic Bible,1.0000000000000002,9780380015399,9780380015399,True
38,Covers_246,Amazon_7532,Seduction in Death,Seduction in Death,1.0000000000000002,9780425181461,9780425181461,True
39,Covers_2130,Amazon_19571,"Magic Eye, Vol. 2",Magic Eye: Vol 2,1.0000000000000002,9780836270099,9780836270099,True
40,Covers_5067,Amazon_11787,"New Selected Poems, 1966-1987",New Selected Poems 1966-1987,1.0,9780571143726,9780571143726,True
41,Covers_6825,Amazon_17468,Dragonfly in Amber,Dragonfly in Amber,1.0000000000000002,9780385335973,9780385335973,True
42,Covers_8268,Amazon_2100,The Gashlycrumb Tinies,The Gashlycrumb Tinies,1.0,9780151003082,9780151003082,True
43,Covers_6840,Amazon_16882,Drums of Autumn,Drums of Autumn,1.0,9780440224259,9780440224259,True
44,Covers_6126,Amazon_20413,How to Rebuild Your Volkswagen Air-Cooled Engine,How to Rebuild Your Volkswagen Air-Cooled Engine,1.0000000000000002,9780895862259,9780895862259,True
45,Covers_7743,Amazon_16904,Rebecca,Rebecca,1.0,9780380778553,9780380778553,True
46,Covers_1620,Amazon_16789,Return from Tomorrow,Return from Tomorrow,1.0,9780800784126,9780800784126,True
47,Covers_2731,Amazon_14006,It Works,It Works,1.0,9780875163239,9780875163239,True
48,Covers_8061,Amazon_2858,The Autobiography of Malcolm X,The Autobiography of Malcolm X,1.0000000000000002,9780345350688,9780345350688,True
49,Covers_1580,Amazon_18239,Blue Mars,Blue Mars,1.0000000000000002,9780553573350,9780553573350,True
50,Covers_3422,Amazon_5715,"An Introduction to Information Theory: Symbols, Signals and Noise","An Introduction to Information Theory, Symbols, Signals and Noise",1.0000000000000002,9780486240619,9780486240619,True
51,Covers_1807,Amazon_359,The Man Who Mistook His Wife For A Hat : And Other Clinical Tales,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,1.0,9780684853949,9780684853949,True
52,Covers_7355,Amazon_21002,Little House in the Big Woods,Little House in the Big Woods,1.0000000000000002,9780064400015,9780064400015,True
53,Covers_6691,Amazon_15179,Collected Fictions,Collected Fictions,1.0,9780140286809,9780140286809,True
54,Covers_2593,Amazon_17506,The blue flower,The Blue Flower,1.0000000000000002,9780006550198,9780006550198,True
55,Covers_8179,Amazon_17611,The Dark Highlander,The Dark Highlander,1.0,9780440237556,9780440237556,True
56,Covers_6198,Amazon_14611,Give Your Dog a Bone,Give Your Dog a Bone,1.0,9780646160283,9780646160283,True
57,Covers_4243,Amazon_9135,The Complete Yes Prime Minister,The Complete Yes Prime Minister,1.0000000000000002,9780563207733,9780563207733,True
58,Covers_8870,Amazon_13189,Without Feathers,Without Feathers,1.0000000000000002,9780345336972,9780345336972,True
59,Covers_6920,Amazon_17432,Fantasy Lover,Fantasy Lover,1.0,9780312979973,9780312979973,True
60,Covers_2064,Amazon_20584,The Face of Battle,The Face of Battle,1.0,9780140048971,9780140048971,True
61,Covers_8627,Amazon_14439,The Tracker,The Tracker,1.0,9780425101339,9780425101339,True
62,Covers_1104,Amazon_11134,The Gift of Fear,The Gift of Fear,1.0000000000000002,9780440226192,9780440226192,True
63,Covers_949,Amazon_3925,People Skills,People Skills,1.0000000000000002,9780671622480,9780671622480,True
64,Covers_4884,Amazon_2531,Towards a New Architecture,Towards a New Architecture,1.0,9780486250236,9780486250236,True
65,Covers_7466,Amazon_18080,Mistress of the Empire,Mistress of the Empire,1.0,9780553561180,9780553561180,True
66,Covers_1657,Amazon_17653,Worth Any Price,Worth Any Price,1.0000000000000004,9780380811076,9780380811076,True
67,Covers_5184,Amazon_11251,Boundaries with Kids,Boundaries with Kids,1.0,9780310243151,9780310243151,True
68,Covers_5257,Amazon_9661,Essentials of Classic Italian Cooking,Essentials of Classic Italian Cooking,1.0000000000000004,9780394584041,9780394584041,True
69,Covers_8446,Amazon_17939,The Once and Future King,The Once and Future King,1.0,9780441627400,9780441627400,True
70,Covers_2771,Amazon_239,The Feeling Good Handbook,The Feeling Good Handbook,1.0000000000000002,9780452281325,9780452281325,True
71,Covers_1434,Amazon_12395,Getting to 'I Do',Getting to I Do,1.0000000000000002,9780380718153,9780380718153,True
72,Covers_4016,Amazon_11099,Six Pillars of Self-Esteem,Six Pillars Of Self-Esteem,1.0,9780553374391,9780553374391,True
73,Covers_4465,Amazon_369,Play Therapy,Play Therapy,1.0,9780345303356,9780345303356,True
74,Covers_6147,Amazon_20431,The Complete Woodcuts of Albrecht Durer,The Complete Woodcuts of Albrecht Durer,1.0,9780486210971,9780486210971,True
75,Covers_5074,Amazon_12059,A People's Tragedy: The Russian Revolution : 1891-1924,A People's Tragedy: the Russian Revolution:1891-1924,1.0000000000000004,9780140243642,9780140243642,True
76,Covers_3023,Amazon_17705,The Ultimate Hitchhiker's Guide to the Galaxy,The Ultimate Hitchhiker's Guide to the Galaxy,1.0000000000000002,9780345453747,9780345453747,True
77,Covers_4941,Amazon_13994,Chariots of the Gods?,Chariots of the Gods?,1.0000000000000002,9780425074817,9780425074817,True
